1,600,
2,1940,
4,4810,
8,10810,
16,23650,
32,46450,
64,91140,
128,197060,
256,414760,
512,793960,
1,630,
2,2090,
4,5110,
8,11570,
16,24810,
32,52150,
64,106260,
128,210040,
1,610,
2,2020,
4,5080,
8,11420,
16,24600,
32,51530,
64,107270,
128,205620,
1,640,
2,2100,
4,5310,
8,11950,
16,25590,
32,54090,
64,111180,
128,227740,
1,640,
2,2120,
4,5270,
8,12010,
16,25600,
32,53370,
64,110200,
128,236420,
1,650,
2,2170,
4,5250,
8,12030,
16,25650,
32,53920,
64,110210,
128,216510,
256,446660,
512,895480,
1024,1770590,
2048,3612270,
4096,7185430,
8192,14414760,
16384,28947540,
