1,540,
2,570,
4,710,
8,1240,
16,2010,
32,9550,
64,18150,
128,30610,
256,93720,
512,252130,
1,480,
2,550,
4,670,
8,1290,
16,1960,
32,4210,
64,18310,
128,23480,
1,440,
2,340,
4,680,
8,1330,
16,1860,
32,4160,
64,9360,
128,51610,
1,430,
2,530,
4,650,
8,1180,
16,1830,
32,4140,
64,9340,
128,35840,
1,450,
2,510,
4,490,
8,1200,
16,1850,
32,4000,
64,9330,
128,49440,
1,440,
2,530,
4,660,
8,1160,
16,1870,
32,3930,
64,9430,
128,22740,
256,47170,
512,193270,
1024,394160,
2048,706440,
4096,1454330,
8192,2713350,
16384,27580880,
