1,90,
2,110,
4,190,
8,610,
16,1910,
32,6840,
64,27260,
128,105270,
256,390350,
512,1586620,
1,70,
2,80,
4,200,
8,600,
16,1870,
32,7120,
64,27110,
128,107170,
1,70,
2,110,
4,180,
8,610,
16,1870,
32,7130,
64,27130,
128,108590,
1,80,
2,100,
4,190,
8,590,
16,1840,
32,6720,
64,26330,
128,103710,
1,70,
2,90,
4,180,
8,570,
16,1800,
32,6740,
64,26260,
128,103720,
1,70,
2,120,
4,200,
8,610,
16,1840,
32,6810,
64,26260,
128,103580,
256,413940,
512,1559330,
1024,6253070,
2048,24587570,
4096,98361710,
8192,407079820,
16384,1617735070,
