1,60,
2,70,
4,170,
8,420,
16,1200,
32,3700,
64,13150,
128,52510,
256,186600,
512,846440,
1,70,
2,80,
4,200,
8,400,
16,1160,
32,3760,
64,14020,
128,55460,
1,60,
2,120,
4,180,
8,350,
16,1130,
32,3430,
64,14560,
128,51990,
1,70,
2,90,
4,180,
8,340,
16,1220,
32,3510,
64,13380,
128,56920,
1,110,
2,120,
4,150,
8,430,
16,1040,
32,3830,
64,14570,
128,53360,
1,110,
2,90,
4,150,
8,450,
16,1310,
32,4060,
64,14500,
128,50300,
256,201040,
512,766660,
1024,3136560,
2048,12786960,
4096,48704740,
8192,197119650,
16384,816564450,
