1,390,
2,490,
4,650,
8,850,
16,1810,
32,3500,
64,7310,
128,15390,
256,38870,
512,89430,
1,340,
2,500,
4,680,
8,950,
16,1730,
32,3440,
64,7560,
128,20600,
1,360,
2,430,
4,650,
8,940,
16,1590,
32,3220,
64,7260,
128,15010,
1,350,
2,470,
4,490,
8,850,
16,1690,
32,4720,
64,7000,
128,14980,
1,390,
2,430,
4,670,
8,880,
16,1670,
32,3090,
64,6880,
128,15070,
1,350,
2,410,
4,570,
8,880,
16,1640,
32,5690,
64,7220,
128,14970,
256,33200,
512,129440,
1024,289890,
2048,574120,
4096,909310,
8192,1636580,
16384,3382830,
