1,380,
2,500,
4,720,
8,1240,
16,2310,
32,4090,
64,8730,
128,19100,
256,39530,
512,81300,
1,420,
2,460,
4,700,
8,1200,
16,2100,
32,4570,
64,9050,
128,17210,
1,310,
2,410,
4,690,
8,1180,
16,2030,
32,3980,
64,8120,
128,16870,
1,340,
2,470,
4,700,
8,1320,
16,2020,
32,3920,
64,8200,
128,18140,
1,340,
2,540,
4,710,
8,1180,
16,2180,
32,4010,
64,8000,
128,16850,
1,350,
2,510,
4,680,
8,1180,
16,1930,
32,3920,
64,8060,
128,16680,
256,37600,
512,77960,
1024,188500,
2048,434500,
4096,916240,
8192,1769260,
16384,3603500,
