3, 1
5, 6
6, 9
7, 16
8, 37
9, 55
10, 77
11, 93
12, 110
13, 95
14, 114
15, 86
16, 72
17, 66
18, 66
19, 37
20, 28
21, 10
22, 12
23, 4
25, 4
27, 1
28, 1
4, 2
5, 4
6, 5
7, 16
8, 28
9, 79
10, 117
11, 188
12, 334
13, 424
14, 615
15, 770
16, 879
17, 903
18, 904
19, 866
20, 834
21, 687
22, 582
23, 511
24, 375
25, 298
26, 213
27, 133
28, 77
29, 76
30, 24
31, 31
32, 8
33, 8
34, 3
35, 3
37, 1
38, 1
40, 1
1, 1739
2, 2897
3, 3197
4, 2617
5, 1742
6, 984
7, 448
8, 192
9, 75
10, 18
11, 4
12, 2
13, 1
