1,480,
2,540,
4,930,
8,1500,
16,3080,
32,11300,
64,35910,
128,50410,
256,175530,
512,389270,
1,380,
2,560,
4,880,
8,1500,
16,2850,
32,6690,
64,17190,
128,65680,
1,410,
2,300,
4,870,
8,1620,
16,3010,
32,6640,
64,15800,
128,47610,
1,440,
2,550,
4,850,
8,1470,
16,2930,
32,6650,
64,15690,
128,71020,
1,420,
2,590,
4,520,
8,1470,
16,2810,
32,6540,
64,15660,
128,73380,
1,440,
2,510,
4,910,
8,1490,
16,2810,
32,6510,
64,16140,
128,46760,
256,116310,
512,314070,
1024,601780,
2048,1329500,
4096,14109280,
8192,51241140,
16384,102878670,
