1,90,
2,110,
4,220,
8,510,
16,1200,
32,2740,
64,6180,
128,14240,
256,32400,
512,71460,
1,60,
2,100,
4,210,
8,550,
16,1160,
32,3000,
64,6210,
128,14190,
1,60,
2,120,
4,180,
8,530,
16,1170,
32,2750,
64,6230,
128,14270,
1,60,
2,100,
4,230,
8,510,
16,1170,
32,2670,
64,6070,
128,13930,
1,70,
2,110,
4,210,
8,530,
16,1150,
32,2650,
64,8730,
128,13930,
1,60,
2,110,
4,230,
8,470,
16,1140,
32,2650,
64,6110,
128,14120,
256,31520,
512,70890,
1024,157230,
2048,326240,
4096,712450,
8192,1537250,
16384,3337540,
