1,390,
2,640,
4,630,
8,830,
16,1370,
32,3130,
64,8740,
128,42790,
256,70090,
512,133080,
1,470,
2,510,
4,660,
8,930,
16,1580,
32,4450,
64,9040,
128,24720,
1,450,
2,550,
4,640,
8,910,
16,1420,
32,3000,
64,6950,
128,20730,
1,390,
2,470,
4,650,
8,950,
16,1350,
32,2830,
64,6690,
128,15420,
1,470,
2,490,
4,590,
8,900,
16,1360,
32,4880,
64,7210,
128,14090,
1,450,
2,520,
4,630,
8,830,
16,1360,
32,5220,
64,17100,
128,16070,
256,47250,
512,130860,
1024,270580,
2048,531280,
4096,894300,
8192,1601750,
16384,24762930,
