1,480,
2,560,
4,840,
8,1300,
16,1980,
32,4190,
64,9760,
128,25130,
256,80330,
512,135250,
1,420,
2,570,
4,720,
8,1220,
16,1950,
32,4010,
64,9300,
128,16810,
1,430,
2,590,
4,710,
8,1320,
16,1850,
32,4030,
64,8420,
128,18400,
1,450,
2,590,
4,730,
8,1260,
16,1990,
32,3910,
64,9440,
128,19760,
1,430,
2,570,
4,800,
8,1280,
16,1910,
32,3600,
64,7750,
128,17870,
1,450,
2,590,
4,770,
8,1230,
16,1830,
32,3450,
64,8350,
128,17770,
256,36110,
512,123670,
1024,247490,
2048,438980,
4096,842000,
8192,1625850,
16384,25365080,
