1,60,
2,60,
4,180,
8,370,
16,680,
32,1340,
64,3540,
128,7030,
256,16470,
512,40550,
1024,75760,
1,80,
2,110,
4,150,
8,310,
16,770,
32,1290,
64,3480,
128,7280,
1,90,
2,90,
4,160,
8,300,
16,720,
32,1440,
64,3240,
128,6300,
1,30,
2,90,
4,140,
8,310,
16,650,
32,1580,
64,3690,
128,6260,
1,100,
2,100,
4,130,
8,320,
16,630,
32,1390,
64,4670,
128,6910,
1,40,
2,90,
4,150,
8,340,
16,770,
32,1520,
64,3590,
128,6770,
256,18360,
512,34590,
1024,78010,
2048,156840,
4096,286160,
8192,847570,
16384,1352110,
