1,3350,
2,1890,
4,4950,
8,11140,
16,23380,
32,47040,
64,100110,
128,202290,
256,428400,
512,780540,
1,600,
2,2080,
4,5070,
8,11590,
16,24730,
32,47210,
64,105870,
128,207380,
1,660,
2,2030,
4,5050,
8,11460,
16,24570,
32,48710,
64,98530,
128,207690,
1,680,
2,2100,
4,5260,
8,11980,
16,26570,
32,46580,
64,106820,
128,208350,
1,650,
2,2110,
4,5290,
8,11900,
16,25730,
32,60670,
64,102480,
128,207660,
1,690,
2,2130,
4,5260,
8,11970,
16,25680,
32,65300,
64,107720,
128,208390,
256,416050,
512,816460,
1024,1644920,
2048,3392260,
4096,6930490,
8192,13964000,
16384,28653840,
