1,580,
2,1930,
4,4860,
8,11120,
16,23600,
32,55500,
64,131540,
128,195820,
256,381450,
512,805060,
1,640,
2,2060,
4,5120,
8,11500,
16,24580,
32,51460,
64,105760,
128,223210,
1,660,
2,2060,
4,5100,
8,11480,
16,24620,
32,50950,
64,104600,
128,213000,
1,670,
2,2100,
4,5300,
8,11920,
16,25510,
32,53610,
64,108730,
128,221560,
1,690,
2,2130,
4,5680,
8,11910,
16,25490,
32,53000,
64,108830,
128,223450,
1,680,
2,2120,
4,5290,
8,11930,
16,25500,
32,52940,
64,109060,
128,221400,
256,449810,
512,868270,
1024,1738790,
2048,3503950,
4096,6846120,
8192,13765610,
16384,29248880,
